claim_id,article_id,published_at,date,published_date,source,journalist,club,player,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,label
c3ed948da4797835,1f119b44a473b936,20220717T143000Z,2022-07-17,2022-07-17,90min.com,,Manchester United,Lisandro Martínez,2022-23,in,permanent,0,24.0,Centre-Back,32000000.0,57370000.0,,1.7928,-25370000.0,0.5966,0.4983,0.6665,0.6665,0.5874,0.5,0.5,0.6875,0.3691,0.82,0.65,0.65,3,0.88,0,0.7333,agreed,report,1,1,0.5874,0.5874,0.6665,0.6665,
1db4a57d691d1b82,d5007806863d21b5,20250703T210000Z,2025-07-03,2025-07-03,arabnews.com,,Borussia Dortmund,Jamie Gittens,2025-26,out,permanent,0,20.0,Left Winger,50000000.0,56000000.0,,1.12,-6000000.0,0.697,0.6265,0.555,0.555,0.4959,0.5,0.5,0.5833,0.1422,0.4,0.65,0.95,1,0.78,0,0.65,unclear,report,1,1,0.4959,0.4959,0.555,0.555,
bbb7ecac436e9fe0,8a055cab2573209a,20220719T164500Z,2022-07-19,2022-07-19,90min.com,,Juventus,Bremer,2022-23,in,permanent,0,25.0,Centre-Back,35000000.0,51300000.0,,1.4657,-16300000.0,0.6452,0.5059,0.5963,0.5963,0.5469,0.5,0.5,0.6875,0.4439,0.4,0.65,0.95,3,0.98,0,0.8167,unclear,report,1,1,0.5469,0.5469,0.5963,0.5963,
b600877f02571277,a35655d6547c58fd,20220721T063000Z,2022-07-21,2022-07-21,daijiworld.com,,Juventus,Bremer,2022-23,in,permanent,0,25.0,Centre-Back,35000000.0,51300000.0,,1.4657,-16300000.0,0.6452,0.5059,0.5671,0.5671,0.5261,0.5,0.5,0.5833,0.4439,0.4,0.65,0.95,1,0.98,0,0.8167,unclear,report,1,1,0.5261,0.5261,0.5671,0.5671,
3ce6745643f206e0,76ea88ccdce11ce6,20230714T130000Z,2023-07-14,2023-07-14,caughtoffside.com,,Manchester United,André Onana,2023-24,in,permanent,0,27.0,Goalkeeper,35000000.0,50200000.0,,1.4343,-15200000.0,0.6023,0.4511,0.5503,0.5503,0.5123,0.5,0.5,0.5769,0.3691,0.4,0.65,0.85,8,0.9,0,0.75,unclear,report,1,1,0.5123,0.5123,0.5503,0.5503,
15c8958c3f2d3e8c,ac6ca3bfe6c6ceb2,20230714T073000Z,2023-07-14,2023-07-14,dailypost.ng,,Manchester United,André Onana,2023-24,in,permanent,0,27.0,Goalkeeper,35000000.0,50200000.0,,1.4343,-15200000.0,0.6023,0.4511,0.5688,0.5688,0.5255,0.5,0.5,0.6429,0.3691,0.4,0.65,0.85,2,0.9,0,0.75,unclear,report,1,1,0.5255,0.5255,0.5688,0.5688,
7325ca39fba594b1,7383bd5745a31dda,20230717T221500Z,2023-07-17,2023-07-17,thepeoplesperson.com,,Manchester United,André Onana,2023-24,in,permanent,0,27.0,Goalkeeper,35000000.0,50200000.0,,1.4343,-15200000.0,0.6023,0.4511,0.5808,0.5808,0.5305,0.5,0.5,0.6429,0.3691,0.4,0.65,0.95,2,0.9,0,0.75,unclear,report,1,1,0.5305,0.5305,0.5808,0.5808,
1672f4ffa1bbade4,f8e46181a5ee7563,2022-08-30T12:06:45Z,2022-08-30,2022-08-30,The Guardian / Jamie Jackson,Jamie Jackson,Manchester United,Antony,2022-23,in,permanent,0,22.0,Right Winger,35000000.0,95000000.0,,2.7143,-60000000.0,0.5,0.4167,0.7628,0.7628,0.7483,0.84,0.6842,0.6174,0.6295,0.9,0.65,0.95,36,1.06,0,0.8833,medical,report,1,1,0.7483,0.7483,0.7628,0.7628,
b3ef7109515ed259,6b0257cdadf3453d,2022-08-29T23:36:25Z,2022-08-29,2022-08-29,The Guardian / Fabrizio Romano,Fabrizio Romano,Manchester United,Antony,2022-23,in,permanent,0,22.0,Right Winger,35000000.0,95000000.0,,2.7143,-60000000.0,0.5,0.4167,0.8353,0.8353,0.8399,0.95,0.8428,0.7969,0.5943,0.9,0.65,0.95,22,0.8,0,0.6667,medical,report,1,1,0.8399,0.8399,0.8353,0.8353,
4c62f96b68890a67,a538530d159d493f,2022-09-01T17:32:50Z,2022-09-01,2022-09-01,The Guardian / Jamie Jackson,Jamie Jackson,Manchester United,Antony,2022-23,in,permanent,0,22.0,Right Winger,35000000.0,95000000.0,,2.7143,-60000000.0,0.5,0.4167,0.6328,0.6328,0.6733,0.84,0.6842,0.6174,0.6295,0.4,0.65,0.95,36,0.96,0,0.8,unclear,report,1,1,0.6733,0.6733,0.6328,0.6328,
a5ffcb7724161050,a88e89d68113d7ff,2022-08-26T08:27:28Z,2022-08-26,2022-08-26,The Guardian / Gregg Bakowski,Gregg Bakowski,Manchester United,Antony,2022-23,in,permanent,0,22.0,Right Winger,35000000.0,95000000.0,,2.7143,-60000000.0,0.5,0.4167,0.6697,0.6697,0.7378,0.84,0.772,0.7429,0.878,0.48,0.45,0.85,4,0.98,0,0.8167,linked,aggregate,1,1,0.7378,0.7378,0.6697,0.6697,
96c866196249fd48,d5b921811ef05c27,2022-08-08T16:03:13Z,2022-08-08,2022-08-08,"The Guardian / Jamie Jackson, Fabrizio Romano and Jacob Steinberg","Jamie Jackson, Fabrizio Romano and Jacob Steinberg",Manchester United,Antony,2022-23,in,permanent,0,22.0,Right Winger,35000000.0,95000000.0,,2.7143,-60000000.0,0.5,0.4167,0.8475,0.8475,0.9045,0.95,0.9558,0.9583,0.9619,0.82,0.65,0.65,2,0.96,0,0.8,agreed,report,1,1,0.9045,0.9045,0.8475,0.8475,
826a56c578bb26f0,f4af833c8ebe1aba,2022-01-13T09:07:45Z,2022-01-13,2022-01-13,The Guardian / Fabrizio Romano,Fabrizio Romano,Juventus,Dušan Vlahović,2021-22,in,permanent,0,22.0,Centre-Forward,70000000.0,85400000.0,,1.22,-15400000.0,0.6755,0.5044,0.6821,0.6821,0.7817,0.95,0.8428,0.7969,0.9128,0.4,0.65,0.65,22,0.66,0,0.55,unclear,report,1,1,0.7817,0.7817,0.6821,0.6821,
