club,journalist,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
Lazio,John Brewin,1,1,1.0,0.5833,0.9
Lazio,Exclusive by Tom Garry,1,0,0.0,0.4167,0.0
Borussia Dortmund,"Jacob Steinberg, Ben Fisher and Ed Aarons",1,1,1.0,0.5833,0.98
Borussia Dortmund,Ben Fisher,2,2,1.0,0.6429,0.88
Borussia Dortmund,"Louise Taylor, Ben Fisher and Jacob Steinberg",1,1,1.0,0.5833,1.04
Manchester United,Dominic Booth,1,1,1.0,0.5833,0.78
Manchester United,Jamie Jackson and Will Unwin,1,1,1.0,0.5833,0.84
Manchester United,Exclusive by Jamie Jackson,1,1,1.0,0.5833,1.04
Manchester United,Ben Fisher,1,0,0.0,0.4167,0.0
Manchester United,Daniel Harris,1,1,1.0,0.5833,0.98
Borussia Dortmund,Alexander Abnos at MetLife Stadium,1,0,0.0,0.4167,0.0
Borussia Dortmund,Ben Fisher and Jacob Steinberg,1,1,1.0,0.5833,0.88
Borussia Dortmund,John Brewin,1,0,0.0,0.4167,0.0
Borussia Dortmund,Ewan Murray and Jacob Steinberg,1,0,0.0,0.4167,0.0
Lazio,Jamie Jackson and Ed Aarons,1,1,1.0,0.5833,0.76
Juventus,Exclusive by Will Unwin,1,1,1.0,0.5833,0.96
Juventus,Jacob Steinberg and Ben Fisher,1,1,1.0,0.5833,0.86
Juventus,"Will Magee, John Brewin, Daniel Harris and Niall McVeigh",1,0,0.0,0.4167,0.0
Juventus,Jacob Steinberg and Ed Aarons,1,1,1.0,0.5833,1.06
Juventus,Alexander Abnos,1,0,0.0,0.4167,0.0
Juventus,"Jamie Jackson at the Camping World Stadium, Orlando",1,0,0.0,0.4167,0.0
Juventus,"Sid Lowe at Hard Rock Stadium, Miami",1,0,0.0,0.4167,0.0
Juventus,Jacob Steinberg and agencies,1,1,1.0,0.5833,0.9
Lazio,"Will Magee, Niall McVeigh and Billy Munday",1,1,1.0,0.5833,0.9
Lazio,Guardian staff and agencies,1,1,1.0,0.5833,0.98
Lazio,Hannah Ellis-Petersen in Delhi and Jennifer Rankin in Brussels,1,0,0.0,0.4167,0.0
Lazio,Will Unwin and David Hytner,1,0,0.0,0.4167,0.0
Lazio,Ben Fisher and Mark Dobson,1,0,0.0,0.4167,0.0
Lazio,Patrick Wintour Diplomatic editor,1,0,0.0,0.4167,0.0
Lazio,Sarah Martin,1,1,1.0,0.5833,0.88
Lazio,Tom Garry,1,1,1.0,0.5833,0.86
Lazio,Guardian sport,1,1,1.0,0.5833,0.88
Manchester United,"Jamie Jackson, Louise Taylor, Ed Aarons and agencies",1,0,0.0,0.4167,0.0
Manchester United,Tom Davies,1,1,1.0,0.5833,0.9
Borussia Dortmund,Yara El-Shaboury,1,1,1.0,0.5833,0.9
Borussia Dortmund,"John Brewin , Tom Bassam, Tom Davies and Taha Hashim",1,0,0.0,0.4167,0.0
Lazio,Yara El-Shaboury,1,1,1.0,0.5833,0.98
Juventus,Lisa O’Carroll,1,0,0.0,0.4167,0.0
Juventus,Dani Anguiano,1,0,0.0,0.4167,0.0
Juventus,Tom Ambrose (now) and Taz Ali (earlier),1,0,0.0,0.4167,0.0
Juventus,Martin Belam,1,0,0.0,0.4167,0.0
Juventus,Kelly Burke Arts reporter,1,0,0.0,0.4167,0.0
Juventus,"Coral Murphy Marcos, Chris Stein, Erum Salam and Tom Ambrose (earlier)",1,0,0.0,0.4167,0.0
Manchester United,Alex Pattle,1,0,0.0,0.4167,0.0
Manchester United,Arthur Ferridge,1,0,0.0,0.4167,0.0
Manchester United,Amos Murphy,1,0,0.0,0.4167,0.0
Manchester United,Ben Fleming,1,0,0.0,0.4167,0.0
Lazio,"Kevin Sampson, David Usher, Chris Smith, Mark Stevenson, Kev Reilly, Abigail Rudkin, Dan Clubbe and Sachin Nakrani",1,0,0.0,0.4167,0.0
Lazio,,5,0,0.0,0.25,0.0
Lazio,Roberta Damiata,1,0,0.0,0.4167,0.0
Ajax NV,,3,0,0.0,0.3125,0.0
Sporting CP SAD,,19,0,0.0,0.1042,0.0
FC Porto SAD,,18,3,0.1667,0.2391,0.1167
Celtic plc,,14,1,0.0714,0.1842,0.0571
Benfica SAD,Barry Glendenning,1,0,0.0,0.4167,0.0
Benfica SAD,,20,1,0.05,0.14,0.031
Eagle Football Group,Tom Garry,1,0,0.0,0.4167,0.0
Eagle Football Group,,10,6,0.6,0.5667,0.49
