source,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
The Guardian / Louise Taylor and Will Unwin,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson and Jacob Steinberg,1,0,0.0,0.4167,0.0
The Guardian / Jonathan Liew,1,0,0.0,0.4167,0.0
"The Guardian / Jamie Jackson, Fabrizio Romano, Will Unwin and agencies",1,1,1.0,0.5833,0.78
The Guardian / Andy Hunter at Old Trafford,1,0,0.0,0.4167,0.0
The Guardian / Scott Murray,1,0,0.0,0.4167,0.0
"The Guardian / Jacob Steinberg, Jamie Jackson and Fabrizio Romano",1,1,1.0,0.5833,0.88
The Guardian / Jamie Jackson and Fabrizio Romano,1,1,1.0,0.5833,1.06
The Guardian / Barry Glendenning,1,0,0.0,0.4167,0.0
The Guardian / Rob Smyth,1,1,1.0,0.5833,0.88
The Guardian / Jamie Jackson at Murrayfield,1,0,0.0,0.4167,0.0
The Guardian / Fabrizio Romano and Will Unwin,1,0,0.0,0.4167,0.0
The Guardian / Luke McLaughlin,1,0,0.0,0.4167,0.0
The Guardian / Will Unwin (now) and Yara El-Shaboury (earlier),1,0,0.0,0.4167,0.0
The Guardian / Daniel Harris,1,1,1.0,0.5833,0.96
The Guardian / Jamie Jackson in Melbourne,2,2,1.0,0.6429,1.0
The Guardian / John Brewin,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg in Philadelphia,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and Ed Aarons,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and Ben Fisher,1,1,1.0,0.5833,0.86
The Guardian / Ben Fisher,1,0,0.0,0.4167,0.0
The Guardian / Thiago Rabelo,1,0,0.0,0.4167,0.0
The Guardian / Tom Garry,2,1,0.5,0.5,0.49
The Guardian / Ed Aarons and Jacob Steinberg,1,0,0.0,0.4167,0.0
The Guardian / Jacob Steinberg and Ed Aarons in Los Angeles,1,1,1.0,0.5833,1.0
The Guardian / Jamie Jackson in New York,1,1,1.0,0.5833,0.98
"The Guardian / Emillia Hawkins (now), with David Tindall, Niall McVeigh and Xaymaca Awoyungbo (earlier)",1,0,0.0,0.4167,0.0
"The Guardian / Jamie Jackson, Jacob Steinberg and David Hytner",1,1,1.0,0.5833,1.06
"The Guardian / Andy Hunter, Ed Aarons and Jacob Steinberg",1,0,0.0,0.4167,0.0
The Guardian / Mark Dobson,1,0,0.0,0.4167,0.0
The Guardian / Xaymaca Awoyungbo (earlier) and Rob Smyth (later),1,0,0.0,0.4167,0.0
The Guardian / Fabrizio Romano and Andy Hunter,1,1,1.0,0.5833,0.78
theathletic.com,1,0,0.0,0.4167,0.0
msn.com,2,0,0.0,0.3571,0.0
goal.com,3,0,0.0,0.3125,0.0
liverpoolecho.co.uk,1,0,0.0,0.4167,0.0
usa.chinadaily.com.cn,1,0,0.0,0.4167,0.0
global.chinadaily.com.cn,1,0,0.0,0.4167,0.0
ruhrnachrichten.de,1,0,0.0,0.4167,0.0
bundesliga.com,1,0,0.0,0.4167,0.0
derwesten.de,3,0,0.0,0.3125,0.0
foot01.com,1,0,0.0,0.4167,0.0
transfermarkt.com,1,0,0.0,0.4167,0.0
hitc.com,1,1,1.0,0.5833,0.63
manchestereveningnews.co.uk,1,0,0.0,0.4167,0.0
the-sun.com,1,0,0.0,0.4167,0.0
